Date,Amount,Category,Description
2024-08-01,$45.50,Groceries,Woolworths Weekly Shop
2024-08-02,$145.60,Transport,Opal Card Top-up
2024-08-03,$89.95,Entertainment,The irish pub and restaurant
2024-08-04,$4.00,Coffee,Café Lux
2024-08-05,$120.00,Groceries,Coles Weekly Shop
2024-08-06,-$25.00,Refund,Returned Textbook - Co-op Bookshop
2024-08-07,$85.00,Dining,Get together- Domaine Anna
2024-08-08,$9.00,Coffee,Artisan- Espresso
2024-08-09,$67.80,Utilities,Electricity Bill - Origin Energy
2024-08-10,$4.20,Coffee,Campus Cafe Cappuccino
2024-08-11,$30.50,Transport,Uber to the hotel
2024-08-12,$156.00,Groceries,Winners- Tribeca
2024-08-13,$8.50,Coffee,Gloria Jeans Large Latte
2024-08-14,$90.00,Entertainment,Movies and Dinner - Event Cinemas
2024-08-15,$28.90,Dining,Spurs- Bagatelle
2024-08-16,-$30.50,Refund,Taxi to the club
2024-08-17,$45.00,Transport,Petrol - Caltex Woolworths
2024-08-18,$73.20,Groceries,IGA Local Shop
2024-08-19,$22.00,Entertainment,Netflix Monthly Subscription
2024-08-20,$5.80,Coffee,Local Cafe Americano
2024-08-21,$30.95,Dining,Thai Takeaway
2024-08-22,$18.50,Transport,Bus Pass Weekly
2024-08-23,$90.00,Utilities,Internet Bill - Telstra
2024-08-24,$6.80,Coffee,University Coffee Cart
2024-08-25,$145.60,Groceries,Monthly Bulk Shopping - Intermart Ebene
